feature_1,feature_2,correlation,abs_correlation
TC:HDL_ratio,height,,
TC:HDL_ratio,bw,,
TC:HDL_ratio,bmi,,
TC:HDL_ratio,smoke,,
TC:HDL_ratio,drinking,,
TC:HDL_ratio,bps,,
TC:HDL_ratio,bpd,,
TC:HDL_ratio,HDL,,
TC:HDL_ratio,LDL,,
TC:HDL_ratio,Triglyceride,,
TC:HDL_ratio,Cholesterol,,
TC:HDL_ratio,AF,,
TC:HDL_ratio,FBS,,
TC:HDL_ratio,eGFR,,
TC:HDL_ratio,Creatinine,,
TC:HDL_ratio,heart_disease,,
TC:HDL_ratio,hypertension,,
TC:HDL_ratio,diabetes,,
TC:HDL_ratio,Statin,,
TC:HDL_ratio,Gemfibrozil,,
TC:HDL_ratio,TC:HDL_ratio,,
Antihypertensive_flag,sex,,
Antihypertensive_flag,age,,
Antihypertensive_flag,height,,
Antihypertensive_flag,bw,,
Antihypertensive_flag,bmi,,
Antihypertensive_flag,smoke,,
Antihypertensive_flag,drinking,,
Antihypertensive_flag,bps,,
Antihypertensive_flag,bpd,,
Antihypertensive_flag,HDL,,
Antihypertensive_flag,LDL,,
Antihypertensive_flag,Triglyceride,,
Antihypertensive_flag,Cholesterol,,
Antihypertensive_flag,AF,,
Antihypertensive_flag,FBS,,
Antihypertensive_flag,eGFR,,
Antihypertensive_flag,Creatinine,,
Antihypertensive_flag,heart_disease,,
Antihypertensive_flag,hypertension,,
Antihypertensive_flag,diabetes,,
Antihypertensive_flag,Statin,,
Antihypertensive_flag,Gemfibrozil,,
Antihypertensive_flag,TC:HDL_ratio,,
Antihypertensive_flag,Antihypertensive_flag,,
stroke_flag,sex,,
stroke_flag,age,,
stroke_flag,height,,
stroke_flag,bw,,
stroke_flag,bmi,,
stroke_flag,smoke,,
stroke_flag,drinking,,
stroke_flag,bps,,
stroke_flag,bpd,,
stroke_flag,HDL,,
stroke_flag,LDL,,
stroke_flag,Triglyceride,,
stroke_flag,Cholesterol,,
stroke_flag,AF,,
stroke_flag,FBS,,
stroke_flag,eGFR,,
stroke_flag,Creatinine,,
stroke_flag,heart_disease,,
stroke_flag,hypertension,,
stroke_flag,diabetes,,
stroke_flag,Statin,,
stroke_flag,Gemfibrozil,,
stroke_flag,TC:HDL_ratio,,
stroke_flag,Antihypertensive_flag,,
stroke_flag,stroke_flag,,
